"id","title","category","description","prompt","author","source"
"1","Wide quote card with portrait and Chinese/English customization","","A prompt for generating a wide quote card featuring a famous person’s portrait, with a brown background, light-gold serif quote text, and layout where text occupies two-thirds and the person one-third. The quote text and author are parameterized for reuse.","A wide quote card featuring a famous person, with a brown background and a light-gold serif font for the quote: “{argument name=""famous_quote"" default=""Stay Hungry, Stay Foolish""}” and smaller text: “—{argument name=""author"" default=""Steve Jobs""}.” There is a large, subtle quotation mark before the text. The portrait of the person is on the left, the text on the right. The text occupies two-thirds of the image and the portrait one-third, with a slight gradient transition effect on the portrait.","Nicolechan","https://x.com/stark_nico99/status/1991718646570426763"
"2","Premium liquid glass Bento grid product infographic with 8 modules","","Create an Infographics with bento grid 8 module layout, user can specify any product name in Food, Medicine, tech etc category, choose language, Background style, Hero grid style","Input Variable: [insert product name]
Language: [insert language]

System Instruction:
Create an image of premium liquid glass Bento grid product infographic with 8 modules (card 2 to 8 show text titles only).
1) Product Analysis:
→ Identify product's dominant natural color → ""hero color""
→ Identify category: FOOD / MEDICINE / TECH
2) Color Palette (derived from hero):
→ Product + accents: full saturation hero color
→ Icons, borders: muted hero (30-40% saturation, never black)
3) Visual Style:
→ Hero product: real photography (authentic, premium), 3D Glass version [choose one]
→ Cards: Apple liquid glass (85-90% transparent) with Whisper-thin borders and Subtle drop shadow for floating depth and reflecting the background color
→ Background stays behind cards and high blur where cards are [choose one]:
  - Ethereal: product essence, light caustics, abstract glow
  - Macro: product texture close-up, heavily blurred
  - Pattern: product repeated softly at 10-15% opacity
  - Context: relevant environment, blurred + desaturated
→ Add subtle motion effect
→ Asymmetric Bento grid, 16:9 landscape
→ Hero card: 28-30% | Info modules: 70-72%
4) Module Content (8 Cards):
M1 — Hero: Product displayed as real photo / 3D glass / stylized interpretation (choose one)in beautiful form + product name label
M2 — Core Benefits: 4 unique benefits + hero-color icons
M3 — How to Use: 4 usage methods + icons
M4 — Key Metrics: 5 EXACT data points
Format: [icon] [Label] [Bold Value] [Unit]
FOOD: Calories: [X] kcal/100g, Carbs: [X]g (fiber [X]g, sugar [X]g), Protein: [X]g, [Key Vitamin]: [X]mg ([X]% DV), [Key Mineral]: [X]mg ([X]% DV)
MEDICINE:Active: [name], Strength: [X] mg, Onset: [X] min, Duration: [X] hrs, Half-life: [X] hrs 
TECH:Chip: [model], Battery: [X] hrs, Weight: [X]g,[Key spec]: [value], Connectivity: [protocols]
M5 — Who It's For: 4 recommended groups with green checkmark icons | 3 caution groups with amber warning icons
M6 — Important Notes: 4 precautions + warning icons
M7 — Quick Reference:
→ FOOD: Glycemic Index + dietary tags with icons
→ MEDICINE: Side effects + severity with icons
→ TECH: Compatibility + certifications with icons
M8 — Did You Know: 3 facts (origin, science, global stat) + icons
Output: 1 image, 16:9 landscape, ultra-premium liquid glass infographic.","Mansi Sanghani","https://x.com/MansiSanghani1/status/2013550795224961492"
"3","Hand-drawn style header image prompt from photo","","Prompt for a hand-drawn style header image of a person introducing Nano Banana Pro","Completely recreate the uploaded person.
Make it a header image for a note article where that person introduces “Nano Banana Pro”.
Aspect ratio: horizontal 16:9.
Style and colors: simple, hand-drawn style, italic, with a blue and green gradient.
Title text: “In-depth explanation of Google’s new AI ‘Nano Banana Pro’”.","セミナー講師専門AIコンシェルジュ｜工藤 晶","https://x.com/akirakudo_ai/status/1992096860765561190"
"4","Watercolor map of Germany with labeled states","Language-DE","A German prompt to generate a watercolor-style map of Germany where all federal states are labeled in ballpoint pen, useful for educational or infographic-style maps.","Generate a map of Germany in watercolor style, on which all federal states are labeled in ballpoint pen.","Florian Gallwitz","https://x.com/FlorianGallwitz/status/1991796624646091091"
"5","New Year's Day Special: Four-Panel Puzzle for 2026 Blessing","","A detailed multi-panel prompt for Nano Banana Pro, creating a 2x2 grid photo collage where a single female character, in four different outfits and settings, pieces together a puzzle that spells '2026 New Year's Day Happy' in the center. The prompt specifies precise facial feature retention, clothing details, background elements, and photographic parameters for a fashion magazine style.","[Key: Maintain precise facial features, retain original face structure, the character in the image must be completely consistent with the uploaded reference image] High-end photo studio 2x2 grid photo. Top-left panel (Navy Blue background): The character wears a navy blue uniform-style dress, decorated with gold buttons, vintage curls with a blue beret and pearl earrings. She holds up a huge puzzle piece (top-left piece, with the number ""20"" on it) with both hands, moving it towards the center of the frame. Her eyes are focused on the central puzzle area, her expression is serious, with a slight smile. The background features navy stripes, an anchor, and the text ""Set Sail for the New Year"". Top-right panel (Cherry Blossom Pink background): The same woman wears a pink lace dress, a pearl necklace, a princess hairstyle with a pink rose hairpin and crystal earrings. She holds up the top-right puzzle piece (with the number ""26"" on it) with both hands, moving it towards the center to connect with the top-left piece. Her eyes look at the puzzle seam, her expression is focused and expectant, and her body leans forward. The background features pink cherry blossoms, the text ""Beautiful Encounter"", butterflies, and petals. Bottom-left panel (Mint Green background): The same woman wears a mint green cotton and linen dress, in an artistic style, with natural long hair, a green hairband, and wooden earrings. She holds up the bottom-left puzzle piece (with the text ""New Year's Day"" on it) with both hands, moving it upwards to connect with the top-left piece. Her eyes look at the puzzle, her expression is serious, and her mouth is slightly pursed. The background features green plants, the text ""Hope Grows"", new sprouts, and leaves. Bottom-right panel (Lemon Yellow background): The same woman wears a yellow dress with a sunflower pattern, pigtails with yellow bows. She pushes in the last bottom-right puzzle piece (with the text ""Happy"" on it) to complete the puzzle. The four pieces perfectly form the complete pattern ""2026 New Year's Day Happy"" in the center of the frame. She tilts her head back, looking at the completed puzzle, her face beaming with a successful, joyful smile. The center of the frame bursts with golden light and confetti. The background features a yellow sun, the text ""Complete Success"", smiley faces, and sunflowers. The puzzle pieces converge from the four corners to the center to form a complete picture. Clear makeup, bright ring light, 85mm lens, f/1.8 aperture, four-panel composition with puzzle interaction, fashion magazine style.","松果先森","https://x.com/songguoxiansen/status/2005822648027091031"
"6","Vintage Patent Document for an Invention","","A prompt designed to generate an image of a vintage United States patent document from the late 1800s. It specifies details like precise technical drawings, handwritten annotations, aged paper texture, foxing stains, an embossed seal, and a wax stamp, making it ideal for historical or archival aesthetics.","A vintage patent document for {argument name=""invention"" default=""INVENTION""}, styled after late 1800s United States Patent Office filings. The page features precise technical drawings with numbered callouts (Fig. 1, Fig. 2, Fig. 3) showing front, side, and exploded views. Handwritten annotations in fountain-pen ink describe mechanisms. The paper is aged ivory with foxing stains and soft fold creases. An official embossed seal and red wax stamp appear in the corner. A hand-signed inventor's name and date appear at the bottom. The entire image feels like a recovered archival document—authoritative, historic, and slightly mysterious.","Alexandra Aisling","https://x.com/AllaAisling/status/2004212035333365763"
"7","Chalkboard-style AI news summary","","A Japanese prompt for turning AI news content into a hand-drawn, teacher-style chalkboard diagram with explanations.","Using the following content, summarize the news in a chalkboard-style, hand‑written look, and break it down with diagrams and easy‑to‑understand expressions as if a teacher had written it.
—-
Search results from Grok","ひでもん | AI開発@ニュース発信","https://x.com/okknews/status/1992173611520868372"
"8","Detailed mirror-selfie otaku room scene","","A very detailed Nano Banana prompt describing a female mirror selfie in a blue-toned otaku computer corner, with full specifications for character, environment, lighting, camera, and negative prompts.","### Scene
Mirror selfie in an otaku-style computer corner, blue color tone.

### Subject
* Gender expression: female
* Age: around 25
* Ethnicity: East Asian
* Body type: slim, with a defined waist; natural body proportions
* Skin tone: light neutral tone
* Hairstyle:
    * Length: waist-length hair
    * Style: straight with slightly curled ends
    * Color: medium brown
* Pose:
    * Stance: standing in a slight contrapposto pose
    * Right hand: holding a smartphone in front of her face (identity hidden)
    * Left arm: naturally hanging down alongside the torso
    * Torso: body leaning slightly back; waist and abdomen exposed
* Clothing:
    * Top: light blue cropped knit cardigan, top two buttons fastened; a blue French-style bra faintly visible
    * Bottom: denim ultra-short shorts, with a blue satin ribbon bow on each side of the hips
    * Socks: blue and white horizontal striped over-the-knee socks
    * Accessory: a blue cute mascot phone case

### Environment
* Description: bedroom computer corner seen through a wall-mounted mirror
* Furnishings:
    * White desk
    * Single monitor showing a soft blue wallpaper (no readable text)
    * Mechanical keyboard with white keycaps on a blue desk mat
    * Mouse on a small blue mouse pad
    * PC tower on the right side with blue case lighting
    * Three anime figures on or near the PC tower
    * A poster of a pagoda on the wall
    * Cat-shaped desk lamp with blue accents
    * A transparent glass of water
    * A tall green leafy plant by the window (on the left side of the frame)
* Color replacement: replace all originally pink elements (clothes and room decor) with blue tones (baby blue to sky blue/periwinkle blue).

### Lighting
* Light source: daylight coming from a large window on the left side of the camera, through sheer curtains
* Light quality: soft, diffused light
* White balance (K): 5200

### Camera
* Mode: smartphone rear camera shooting via the mirror (no portrait/bokeh mode)
* Equivalent focal length (mm): 26
* Distances (m):
    * Subject to mirror: 0.6
    * Camera to mirror: 0.5
* Exposure:
    * Aperture (f): 1.8
    * ISO: 100
    * Shutter speed (s): 0.01
    * Exposure compensation (EV): -0.3
* Focus: focus on the torso and shorts in the mirror image
* Depth of field: natural smartphone deep depth of field; background clearly visible with no artificial blur
* Composition:
    * Aspect ratio: 1:1
    * Crop: from the top of the head to mid-thigh; include the desk, monitor, PC tower, and plant in the frame
    * Angle: slightly high angle from the mirror’s point of view
    * Composition note: keep the subject centered; to avoid wide-angle edge distortion, have her stand a bit further away and crop to a square later.

### Negative prompts
* Any appearance of pink/magenta anywhere
* Beauty filters/over-smoothed skin; poreless skin look
* Exaggerated or distorted anatomy
* NSFW, see-through fabrics, wardrobe malfunctions
* Logos, brand names, or readable user interface text
* Fake portrait-mode blur, CGI/illustration feel","宝玉","https://x.com/dotey/status/1976485558319722711"
"9","Edo-period Ukiyo-e reinterpretation of a modern scene","","A highly-structured image prompt to depict a modern-day scene reimagined as an Edo-period Japanese Ukiyo-e woodblock print, with detailed guidance on anachronistic tech, composition, texture, and color.","A Japanese Edo-period Ukiyo-e woodblock print. The overall feeling is a surreal collaboration between masters like Hokusai and Hiroshige, reimagining modern technology through an ancient lens.

**The scene:** {argument name=""modern scene"" default=""a busy Shibuya scramble crossing""}

**Edo transformation logic:**
Characters wear Edo-era kimono but perform modern actions. All technology is transformed into surreal Edo equivalents:
* Smartphones are glowing, illustrated paper scrolls being read intently.
* Metro stations and trains are giant articulated wooden centipede carriages shuffling through crowds.
* Skyscrapers are reimagined as endless, towering wooden pagodas reaching into dramatic clouds.
* Robots and mecha appear as giant, armored woodblock golems.

The composition uses a flattened perspective with large, bold, hand-carved ink outlines. The background features heavily stylized Ukiyo-e wave patterns and dramatic, swirling clouds, with a distant Mt. Fuji visible on the horizon.

The image must look like a physical print, not a digital painting.
* Texture: strong visible wood grain texture and rough paper fibers throughout the piece.
* Printing imperfections: pigment bleeding is evident. Simulate hand-pressed plates with slight color misalignment for authenticity.
* Color palette: strictly limited to traditional mineral pigments, with dominant use of Prussian blue, vermilion red, and muted yellow ochre.
* Lighting: soft, flat, shadow-free lighting with no digital gradients.

Aspect ratio is 3:4 vertical poster. Include vertical Japanese calligraphy describing the scene and a traditional red artist seal stamp in a corner.","VoxcatAI","https://x.com/VoxcatAI/status/1995497350543110411"
"10","Profile / Avatar - Nightlife Selfie Flash Editorial Portrait","","A highly specific JSON prompt for generating an ultra-photorealistic close-up selfie portrait taken at night using direct phone flash, achieving a candid but editorial look. It mandates strict face identity lock, details the subject's appearance (jet-black hair, pearl head chain), and specifies the lighting and background (dim lounge, bokeh highlights).","{
  ""generation_request"": {
    ""meta_data"": {
      ""tool"": ""NanoBanana Pro"",
      ""task_type"": ""photoreal_selfie_flash_nightlife_editorial"",
      ""version"": ""v1.0_PEARL_HEADCHAIN_SELFIE_FLASH_NO_AI_LOOK_NO_TEXT"",
      ""priority"": ""highest""
    },

    ""references"": {
      ""reference_image_1"": {
        ""source"": ""UPLOAD_REFERENCE_IMAGE (OPTIONAL)"",
        ""purpose"": ""FACE_IDENTITY_AND_GLAM_STYLE_LOCK"",
        ""strict_lock"": true,
        ""face_similarity_priority"": ""MAX"",
        ""no_identity_blending"": true,
        ""no_beautify"": true,
        ""no_age_shift"": true,
        ""preserve_skin_texture"": true,
        ""preserve_facial_proportions"": true,
        ""preserve_expression"": true
      }
    },

    ""output_settings"": {
      ""aspect_ratio"": ""4:5"",
      ""orientation"": ""portrait"",
      ""resolution_target"": ""ultra_high_res"",
      ""render_style"": ""flash_candid_editorial"",
      ""sharpness"": ""flash_crisp_face_soft_background"",
      ""film_grain"": ""subtle_35mm"",
      ""color_grade"": ""warm_night_flash_neutral_skin"",
      ""dynamic_range"": ""natural_not_hdr"",
      ""skin_rendering"": ""real_texture_editorial_finish""
    },

    ""creative_prompt"": {
      ""scene_summary"": ""Ultra-photorealistic close-up selfie portrait at night with direct phone flash. A glamorous young woman with long straight jet-black hair looks into the camera with a confident, slightly pouty expression. She wears an intricate pearl-and-crystal head chain (net pattern) draped over the hairline with small dangling drops, plus long pearl drop earrings. Outfit is an elegant ivory shimmer halter dress with modest coverage and realistic fabric folds. The overall look is luxury nightlife, candid but editorial, with clean skin texture and perfect facial structure."",

      ""environment"": {
        ""location"": ""dim indoor-outdoor lounge / villa entrance at night"",
        ""background"": ""dark wood beams, soft ambient practical lights, shallow depth of field, bokeh highlights"",
        ""lighting"": ""dominant direct phone flash as key, minimal ambient fill, realistic specular highlights on pearls""
      },

      ""subject"": {
        ""appearance"": {
          ""hair"": ""long straight black hair, glossy but natural, visible strands, no waxy look"",
          ""makeup"": ""soft glam, sharp eyeliner, defined brows, subtle blush, glossy nude lips, realistic pores"",
          ""skin"": ""real skin texture, no smoothing, no plastic finish""
        },
        ""accessories"": {
          ""headpiece"": ""pearl-and-crystal lattice head chain, symmetrical net pattern across the top of the head, small dangling pearl drops at the forehead and sides, realistic sparkle"",
          ""earrings"": ""long pearl drop earrings, elegant, realistic reflections""
        },
        ""wardrobe"": {
          ""dress"": ""ivory shimmer halter dress, elegant neckline, modest coverage, realistic drape and micro-glitter""
        },
        ""pose"": ""selfie angle, arms extended toward camera, shoulders relax""
      }
    }
  }
}","Özge Döner","https://x.com/astronomerozge1/status/2013350554542498168"
