No,Palette Name,Category,Keywords,Primary Hex,Secondary Hex,Accent Hex,Background Hex,Text Hex,Psychology,Best For,Avoid For
1,Classic Blue Trust,Professional,"trust, stability, corporate, reliable",#003366,#0055A4,#FFD700,#FFFFFF,#1A1A1A,Trust reliability professionalism,Finance legal healthcare corporate,Entertainment children playful
2,Tech Gradient,Technology,"modern, innovative, digital, future",#6366F1,#8B5CF6,#06B6D4,#0F172A,#F8FAFC,Innovation technology forward-thinking,Tech startups SaaS AI companies,Traditional heritage artisan
3,Eco Green,Nature,"sustainable, natural, growth, fresh",#228B22,#2E8B57,#8FBC8F,#F0FFF0,#1A1A1A,Growth sustainability health nature,Organic eco wellness environmental,Luxury tech industrial
4,Luxury Gold,Premium,"elegance, premium, wealth, sophisticated",#1C1917,#44403C,#D4AF37,#FAFAF9,#0C0A09,Luxury prestige exclusivity wealth,Luxury fashion jewelry hotels,Budget casual children
5,Vibrant Coral,Energetic,"warm, friendly, approachable, exciting",#FF6B6B,#FFE66D,#4ECDC4,#FFFFFF,#2C3E50,Energy warmth friendliness excitement,Food social media lifestyle,Corporate medical serious
6,Modern Purple,Creative,"creative, innovative, unique, premium",#7C3AED,#A78BFA,#F472B6,#FAF5FF,#1E1B4B,Creativity innovation imagination premium,Creative tech beauty brands,Traditional conservative
7,Fresh Mint,Clean,"fresh, clean, calm, modern",#10B981,#34D399,#6EE7B7,#ECFDF5,#064E3B,Freshness calmness cleanliness,Health wellness fintech apps,Industrial heavy traditional
8,Bold Red,Power,"passion, energy, urgency, bold",#DC2626,#EF4444,#F97316,#FEF2F2,#1F2937,Power passion urgency action,Food sports entertainment sale,Healthcare meditation calm
9,Navy Professional,Corporate,"professional, serious, trustworthy, established",#0F172A,#1E3A8A,#3B82F6,#F8FAFC,#020617,Authority trust professionalism,Legal finance consulting,Playful children casual
10,Warm Earth,Organic,"natural, authentic, grounded, warm",#8B4513,#D2691E,#DEB887,#FFF8DC,#2F1810,Authenticity warmth earthiness natural,Coffee craft artisan organic,Tech modern digital
11,Soft Blush,Feminine,"gentle, feminine, romantic, delicate",#F472B6,#FBCFE8,#FDA4AF,#FDF2F8,#831843,Femininity softness romance elegance,Beauty wedding fashion skincare,Industrial tech masculine
12,Electric Neon,Nightlife,"vibrant, exciting, youthful, digital",#FF00FF,#00FFFF,#39FF14,#0D0D0D,#FFFFFF,Energy excitement youth nightlife,Gaming entertainment clubs apps,Corporate traditional mature
13,Sunrise Gradient,Warm,"optimistic, warm, energetic, hopeful",#F97316,#FBBF24,#FCD34D,#FFFBEB,#78350F,Optimism warmth energy hope,Food lifestyle travel,Medical corporate serious
