ID,Category,Name,File,URL,Keywords,Complexity,Use Cases,Description
1,webgl,animation / keyframes,webgl_animation_keyframes.html,https://threejs.org/examples/webgl_animation_keyframes.html,"webgl, animation, keyframes",medium,character animation,"Three.js webgl example demonstrating animation, keyframes"
2,webgl,animation / skinning / blending,webgl_animation_skinning_blending.html,https://threejs.org/examples/webgl_animation_skinning_blending.html,"webgl, animation, skinning, blending",medium,character animation,"Three.js webgl example demonstrating animation, skinning, blending"
3,webgl,animation / skinning / additive / blending,webgl_animation_skinning_additive_blending.html,https://threejs.org/examples/webgl_animation_skinning_additive_blending.html,"webgl, animation, skinning, additive, blending",medium,character animation,"Three.js webgl example demonstrating animation, skinning, additive, blending"
4,webgl,animation / skinning / ik,webgl_animation_skinning_ik.html,https://threejs.org/examples/webgl_animation_skinning_ik.html,"webgl, animation, skinning, ik",medium,character animation,"Three.js webgl example demonstrating animation, skinning, ik"
5,webgl,animation / skinning / morph,webgl_animation_skinning_morph.html,https://threejs.org/examples/webgl_animation_skinning_morph.html,"webgl, animation, skinning, morph",medium,character animation,"Three.js webgl example demonstrating animation, skinning, morph"
6,webgl,animation / multiple,webgl_animation_multiple.html,https://threejs.org/examples/webgl_animation_multiple.html,"webgl, animation, multiple",medium,character animation,"Three.js webgl example demonstrating animation, multiple"
7,webgl,animation / walk,webgl_animation_walk.html,https://threejs.org/examples/webgl_animation_walk.html,"webgl, animation, walk",medium,character animation,"Three.js webgl example demonstrating animation, walk"
8,webgl,batch / lod / bvh,webgl_batch_lod_bvh.html,https://threejs.org/examples/webgl_batch_lod_bvh.html,"webgl, batch, lod, bvh",medium,3D visualization,"Three.js webgl example demonstrating batch, lod, bvh"
9,webgl,camera,webgl_camera.html,https://threejs.org/examples/webgl_camera.html,"webgl, camera",medium,3D visualization,Three.js webgl example demonstrating camera
10,webgl,camera / array,webgl_camera_array.html,https://threejs.org/examples/webgl_camera_array.html,"webgl, camera, array",medium,VR/AR experience,"Three.js webgl example demonstrating camera, array"
11,webgl,camera / logarithmicdepthbuffer,webgl_camera_logarithmicdepthbuffer.html,https://threejs.org/examples/webgl_camera_logarithmicdepthbuffer.html,"webgl, camera, logarithmicdepthbuffer",medium,VR/AR experience,"Three.js webgl example demonstrating camera, logarithmicdepthbuffer"
12,webgl,clipping,webgl_clipping.html,https://threejs.org/examples/webgl_clipping.html,"webgl, clipping",medium,3D visualization,Three.js webgl example demonstrating clipping
13,webgl,clipping / advanced,webgl_clipping_advanced.html,https://threejs.org/examples/webgl_clipping_advanced.html,"webgl, clipping, advanced",medium,3D visualization,"Three.js webgl example demonstrating clipping, advanced"
14,webgl,clipping / intersection,webgl_clipping_intersection.html,https://threejs.org/examples/webgl_clipping_intersection.html,"webgl, clipping, intersection",medium,3D visualization,"Three.js webgl example demonstrating clipping, intersection"
15,webgl,clipping / stencil,webgl_clipping_stencil.html,https://threejs.org/examples/webgl_clipping_stencil.html,"webgl, clipping, stencil",medium,3D visualization,"Three.js webgl example demonstrating clipping, stencil"
16,webgl,decals,webgl_decals.html,https://threejs.org/examples/webgl_decals.html,"webgl, decals",medium,3D visualization,Three.js webgl example demonstrating decals
17,webgl,depth / texture,webgl_depth_texture.html,https://threejs.org/examples/webgl_depth_texture.html,"webgl, depth, texture",medium,3D visualization,"Three.js webgl example demonstrating depth, texture"
18,webgl,effects / anaglyph,webgl_effects_anaglyph.html,https://threejs.org/examples/webgl_effects_anaglyph.html,"webgl, effects, anaglyph",medium,3D visualization,"Three.js webgl example demonstrating effects, anaglyph"
19,webgl,effects / ascii,webgl_effects_ascii.html,https://threejs.org/examples/webgl_effects_ascii.html,"webgl, effects, ascii",medium,3D visualization,"Three.js webgl example demonstrating effects, ascii"
20,webgl,effects / parallaxbarrier,webgl_effects_parallaxbarrier.html,https://threejs.org/examples/webgl_effects_parallaxbarrier.html,"webgl, effects, parallaxbarrier",medium,VR/AR experience,"Three.js webgl example demonstrating effects, parallaxbarrier"
21,webgl,effects / stereo,webgl_effects_stereo.html,https://threejs.org/examples/webgl_effects_stereo.html,"webgl, effects, stereo",medium,3D visualization,"Three.js webgl example demonstrating effects, stereo"
22,webgl,framebuffer / texture,webgl_framebuffer_texture.html,https://threejs.org/examples/webgl_framebuffer_texture.html,"webgl, framebuffer, texture",medium,3D visualization,"Three.js webgl example demonstrating framebuffer, texture"
23,webgl,geometries,webgl_geometries.html,https://threejs.org/examples/webgl_geometries.html,"webgl, geometries",medium,3D visualization,Three.js webgl example demonstrating geometries
24,webgl,geometry / colors,webgl_geometry_colors.html,https://threejs.org/examples/webgl_geometry_colors.html,"webgl, geometry, colors",medium,procedural generation,"Three.js webgl example demonstrating geometry, colors"
25,webgl,geometry / colors / lookuptable,webgl_geometry_colors_lookuptable.html,https://threejs.org/examples/webgl_geometry_colors_lookuptable.html,"webgl, geometry, colors, lookuptable",medium,procedural generation,"Three.js webgl example demonstrating geometry, colors, lookuptable"
26,webgl,geometry / convex,webgl_geometry_convex.html,https://threejs.org/examples/webgl_geometry_convex.html,"webgl, geometry, convex",medium,procedural generation,"Three.js webgl example demonstrating geometry, convex"
27,webgl,geometry / csg,webgl_geometry_csg.html,https://threejs.org/examples/webgl_geometry_csg.html,"webgl, geometry, csg",medium,procedural generation,"Three.js webgl example demonstrating geometry, csg"
28,webgl,geometry / cube,webgl_geometry_cube.html,https://threejs.org/examples/webgl_geometry_cube.html,"webgl, geometry, cube",medium,procedural generation,"Three.js webgl example demonstrating geometry, cube"
29,webgl,geometry / extrude / shapes,webgl_geometry_extrude_shapes.html,https://threejs.org/examples/webgl_geometry_extrude_shapes.html,"webgl, geometry, extrude, shapes",medium,procedural generation,"Three.js webgl example demonstrating geometry, extrude, shapes"
30,webgl,geometry / extrude / splines,webgl_geometry_extrude_splines.html,https://threejs.org/examples/webgl_geometry_extrude_splines.html,"webgl, geometry, extrude, splines",medium,procedural generation,"Three.js webgl example demonstrating geometry, extrude, splines"
31,webgl,geometry / minecraft,webgl_geometry_minecraft.html,https://threejs.org/examples/webgl_geometry_minecraft.html,"webgl, geometry, minecraft",medium,procedural generation,"Three.js webgl example demonstrating geometry, minecraft"
32,webgl,geometry / nurbs,webgl_geometry_nurbs.html,https://threejs.org/examples/webgl_geometry_nurbs.html,"webgl, geometry, nurbs",medium,procedural generation,"Three.js webgl example demonstrating geometry, nurbs"
33,webgl,geometry / shapes,webgl_geometry_shapes.html,https://threejs.org/examples/webgl_geometry_shapes.html,"webgl, geometry, shapes",medium,procedural generation,"Three.js webgl example demonstrating geometry, shapes"
34,webgl,geometry / spline / editor,webgl_geometry_spline_editor.html,https://threejs.org/examples/webgl_geometry_spline_editor.html,"webgl, geometry, spline, editor",medium,procedural generation,"Three.js webgl example demonstrating geometry, spline, editor"
35,webgl,geometry / teapot,webgl_geometry_teapot.html,https://threejs.org/examples/webgl_geometry_teapot.html,"webgl, geometry, teapot",medium,procedural generation,"Three.js webgl example demonstrating geometry, teapot"
36,webgl,geometry / terrain,webgl_geometry_terrain.html,https://threejs.org/examples/webgl_geometry_terrain.html,"webgl, geometry, terrain",medium,procedural generation,"Three.js webgl example demonstrating geometry, terrain"
37,webgl,geometry / terrain / raycast,webgl_geometry_terrain_raycast.html,https://threejs.org/examples/webgl_geometry_terrain_raycast.html,"webgl, geometry, terrain, raycast",medium,procedural generation,"Three.js webgl example demonstrating geometry, terrain, raycast"
38,webgl,geometry / text,webgl_geometry_text.html,https://threejs.org/examples/webgl_geometry_text.html,"webgl, geometry, text",medium,procedural generation,"Three.js webgl example demonstrating geometry, text"
39,webgl,geometry / text / shapes,webgl_geometry_text_shapes.html,https://threejs.org/examples/webgl_geometry_text_shapes.html,"webgl, geometry, text, shapes",medium,procedural generation,"Three.js webgl example demonstrating geometry, text, shapes"
40,webgl,geometry / text / stroke,webgl_geometry_text_stroke.html,https://threejs.org/examples/webgl_geometry_text_stroke.html,"webgl, geometry, text, stroke",medium,procedural generation,"Three.js webgl example demonstrating geometry, text, stroke"
41,webgl,helpers,webgl_helpers.html,https://threejs.org/examples/webgl_helpers.html,"webgl, helpers",medium,3D visualization,Three.js webgl example demonstrating helpers
42,webgl,instancing / morph,webgl_instancing_morph.html,https://threejs.org/examples/webgl_instancing_morph.html,"webgl, instancing, morph",medium,3D visualization,"Three.js webgl example demonstrating instancing, morph"
43,webgl,instancing / dynamic,webgl_instancing_dynamic.html,https://threejs.org/examples/webgl_instancing_dynamic.html,"webgl, instancing, dynamic",medium,3D visualization,"Three.js webgl example demonstrating instancing, dynamic"
44,webgl,instancing / performance,webgl_instancing_performance.html,https://threejs.org/examples/webgl_instancing_performance.html,"webgl, instancing, performance",medium,3D visualization,"Three.js webgl example demonstrating instancing, performance"
45,webgl,instancing / raycast,webgl_instancing_raycast.html,https://threejs.org/examples/webgl_instancing_raycast.html,"webgl, instancing, raycast",medium,3D visualization,"Three.js webgl example demonstrating instancing, raycast"
46,webgl,instancing / scatter,webgl_instancing_scatter.html,https://threejs.org/examples/webgl_instancing_scatter.html,"webgl, instancing, scatter",medium,3D visualization,"Three.js webgl example demonstrating instancing, scatter"
47,webgl,interactive / buffergeometry,webgl_interactive_buffergeometry.html,https://threejs.org/examples/webgl_interactive_buffergeometry.html,"webgl, interactive, buffergeometry",medium,user interaction; procedural generation,"Three.js webgl example demonstrating interactive, buffergeometry"
48,webgl,interactive / cubes,webgl_interactive_cubes.html,https://threejs.org/examples/webgl_interactive_cubes.html,"webgl, interactive, cubes",medium,user interaction,"Three.js webgl example demonstrating interactive, cubes"
49,webgl,interactive / cubes / gpu,webgl_interactive_cubes_gpu.html,https://threejs.org/examples/webgl_interactive_cubes_gpu.html,"webgl, interactive, cubes, gpu",medium,user interaction,"Three.js webgl example demonstrating interactive, cubes, gpu"
50,webgl,interactive / cubes / ortho,webgl_interactive_cubes_ortho.html,https://threejs.org/examples/webgl_interactive_cubes_ortho.html,"webgl, interactive, cubes, ortho",medium,user interaction,"Three.js webgl example demonstrating interactive, cubes, ortho"
51,webgl,interactive / lines,webgl_interactive_lines.html,https://threejs.org/examples/webgl_interactive_lines.html,"webgl, interactive, lines",medium,user interaction,"Three.js webgl example demonstrating interactive, lines"
52,webgl,interactive / points,webgl_interactive_points.html,https://threejs.org/examples/webgl_interactive_points.html,"webgl, interactive, points",medium,user interaction; particle effects,"Three.js webgl example demonstrating interactive, points"
53,webgl,interactive / raycasting / points,webgl_interactive_raycasting_points.html,https://threejs.org/examples/webgl_interactive_raycasting_points.html,"webgl, interactive, raycasting, points",medium,user interaction; particle effects,"Three.js webgl example demonstrating interactive, raycasting, points"
54,webgl,interactive / voxelpainter,webgl_interactive_voxelpainter.html,https://threejs.org/examples/webgl_interactive_voxelpainter.html,"webgl, interactive, voxelpainter",medium,user interaction,"Three.js webgl example demonstrating interactive, voxelpainter"
55,webgl,lensflares,webgl_lensflares.html,https://threejs.org/examples/webgl_lensflares.html,"webgl, lensflares",medium,VR/AR experience,Three.js webgl example demonstrating lensflares
56,webgl,lightprobe,webgl_lightprobe.html,https://threejs.org/examples/webgl_lightprobe.html,"webgl, lightprobe",medium,3D visualization,Three.js webgl example demonstrating lightprobe
57,webgl,lightprobe / cubecamera,webgl_lightprobe_cubecamera.html,https://threejs.org/examples/webgl_lightprobe_cubecamera.html,"webgl, lightprobe, cubecamera",medium,3D visualization,"Three.js webgl example demonstrating lightprobe, cubecamera"
58,webgl,lights / hemisphere,webgl_lights_hemisphere.html,https://threejs.org/examples/webgl_lights_hemisphere.html,"webgl, lights, hemisphere",medium,3D visualization,"Three.js webgl example demonstrating lights, hemisphere"
59,webgl,lights / physical,webgl_lights_physical.html,https://threejs.org/examples/webgl_lights_physical.html,"webgl, lights, physical",medium,3D visualization,"Three.js webgl example demonstrating lights, physical"
60,webgl,lights / spotlight,webgl_lights_spotlight.html,https://threejs.org/examples/webgl_lights_spotlight.html,"webgl, lights, spotlight",medium,3D visualization,"Three.js webgl example demonstrating lights, spotlight"
61,webgl,lights / spotlights,webgl_lights_spotlights.html,https://threejs.org/examples/webgl_lights_spotlights.html,"webgl, lights, spotlights",medium,3D visualization,"Three.js webgl example demonstrating lights, spotlights"
62,webgl,lights / pointlights,webgl_lights_pointlights.html,https://threejs.org/examples/webgl_lights_pointlights.html,"webgl, lights, pointlights",medium,3D visualization,"Three.js webgl example demonstrating lights, pointlights"
63,webgl,lights / rectarealight,webgl_lights_rectarealight.html,https://threejs.org/examples/webgl_lights_rectarealight.html,"webgl, lights, rectarealight",medium,VR/AR experience,"Three.js webgl example demonstrating lights, rectarealight"
64,webgl,lines / colors,webgl_lines_colors.html,https://threejs.org/examples/webgl_lines_colors.html,"webgl, lines, colors",medium,3D visualization,"Three.js webgl example demonstrating lines, colors"
65,webgl,lines / dashed,webgl_lines_dashed.html,https://threejs.org/examples/webgl_lines_dashed.html,"webgl, lines, dashed",medium,3D visualization,"Three.js webgl example demonstrating lines, dashed"
66,webgl,lines / fat,webgl_lines_fat.html,https://threejs.org/examples/webgl_lines_fat.html,"webgl, lines, fat",medium,3D visualization,"Three.js webgl example demonstrating lines, fat"
67,webgl,lines / fat / raycasting,webgl_lines_fat_raycasting.html,https://threejs.org/examples/webgl_lines_fat_raycasting.html,"webgl, lines, fat, raycasting",medium,3D visualization,"Three.js webgl example demonstrating lines, fat, raycasting"
