No,Context Name,Category,Keywords,Scene Description,Lighting,Environment,Props,Camera Angle,Background,Style Notes,Best For,Prompt Modifiers
1,Marble Desk,Stationery,marble luxury desk surface premium,Business cards on white marble desk surface,Soft natural daylight,Minimalist desk setup,Pen plant small decor,45 degree overhead,White grey marble veins,Clean shadows soft edges,Business cards letterhead,photorealistic soft shadows luxury
2,Wooden Table,Stationery,wood natural warm rustic table,Stationery items on warm wooden table,Warm natural light,Cozy workspace,Coffee cup notebook,Flat lay overhead,Warm wood grain texture,Natural warm tones,Notebooks folders organic brands,warm tones natural textures
3,Concrete Surface,Modern,concrete industrial urban minimalist,Items on raw concrete surface,Dramatic directional,Industrial minimal,Minimal geometric,Direct overhead,Grey concrete texture,High contrast dramatic,Tech modern industrial brands,dramatic lighting industrial minimal
4,Dark Background,Premium,dark moody black sophisticated,Items floating on dark background,Dramatic rim light,Studio dark,None minimal,Product centered,Deep black gradient,Dramatic luxurious,Luxury premium dark brands,dramatic rim lighting luxury
5,White Studio,Clean,white clean studio bright minimal,Clean studio shot white background,Bright even lighting,White infinity curve,None clean,Product centered,Pure white seamless,Clean professional,All brands product focused,clean white professional studio
6,Office Lobby,Environment,reception lobby corporate office,Reception area with brand signage,Bright modern office,Modern office interior,Plants furniture,Wide architectural,Glass wood modern materials,Architectural modern,Office signage reception,architectural photography modern office
7,Meeting Room,Environment,conference meeting corporate glass,Meeting room with brand elements,Natural window light,Modern glass walls,Conference table chairs,Interior wide angle,Glass partitions wood,Contemporary professional,Meeting room signs presentations,corporate interior photography
8,Retail Store,Environment,shop retail display store,Retail environment with branded elements,Bright retail lighting,Modern retail space,Displays products,Interior wide,Modern retail fixtures,Retail contemporary,Shopping bags displays retail,retail interior photography
9,Street Scene,Vehicle,urban street city car,Vehicle on urban street,Daylight golden hour,City street scene,Buildings pedestrians,3/4 front angle,Urban architecture,Dynamic urban,Vehicle branding fleet,urban photography dynamic
10,Parking Lot,Vehicle,parking corporate lot fleet,Fleet vehicles in parking,Overcast soft light,Corporate parking,Multiple vehicles,Wide establishing,Modern building,Fleet organized,Fleet multiple vehicles,fleet photography corporate
11,Highway Motion,Vehicle,road highway motion blur,Vehicle in motion on highway,Daylight clear,Highway motion,Road markings blur,Side tracking shot,Blurred background motion,Dynamic speed,Vehicle branding dynamic,motion photography speed
12,Trade Show,Events,exhibition booth event show,Trade show booth setup,Bright exhibition,Convention center,Displays banners,Wide booth view,Exhibition hall,Professional event,Booth banners displays,exhibition photography trade show
13,Conference,Events,conference event professional,Conference event setup,Stage lighting,Conference venue,Podium screens,Wide room view,Professional venue,Professional formal,Backdrops badges lanyards,event photography conference
14,Outdoor Event,Events,outdoor festival event brand,Outdoor event with brand presence,Natural daylight,Outdoor venue,Tents flags banners,Wide establishing,Sky outdoor space,Fresh dynamic,Outdoor banners flags tents,outdoor event photography
15,Lifestyle Desk,Digital,workspace laptop desk lifestyle,Modern workspace with digital devices,Soft natural light,Modern workspace,Laptop phone notebook,Overhead angle,Clean desk surface,Lifestyle modern,Digital mockups social media,lifestyle photography workspace
16,Hand Holding,Product,hand holding product lifestyle,Hand holding branded item,Soft natural light,Neutral environment,Human hand product,Close-up detail,Blurred background,Human connection,Business cards products,lifestyle product photography
17,Flat Lay,Product,flat lay arranged organized,Organized flat lay arrangement,Even overhead light,Neutral surface,Multiple items arranged,Direct overhead,Clean surface,Organized aesthetic,Multiple items stationery,flat lay photography arranged
18,Unboxing,Product,unboxing packaging reveal,Package opening reveal moment,Soft directional,Clean surface,Packaging tissue,Overhead angle,Neutral background,Premium reveal,Gift boxes packaging,unboxing photography premium
19,Fashion Model,Apparel,model wearing fashion lifestyle,Model wearing branded apparel,Fashion lighting,Studio or location,Model styling,Fashion portrait,Clean or contextual,Fashion lifestyle,Uniforms apparel clothing,fashion photography lifestyle
20,Product Grid,Catalog,grid multiple products organized,Multiple products organized grid,Even lighting,White background,Multiple items,Direct overhead,Pure white,Catalog clean,Multiple variations colors,catalog photography grid
