No,Deliverable,Category,Keywords,Description,Dimensions,File Format,Logo Placement,Color Usage,Typography Notes,Mockup Context,Best Practices,Avoid
1,Primary Logo,Core Identity,logo main primary brand mark,Main logo used as primary brand identifier,Vector scalable,SVG AI EPS PNG,Center prominent,Full color palette,Primary typeface,Clean background product shots,Ensure clear space maintain proportions,Distortion crowding busy backgrounds
2,Logo Variations,Core Identity,logo alternate secondary horizontal vertical,Alternative logo formats for different applications,Vector scalable,SVG AI EPS PNG,Context dependent,Mono color reverse,Consistent with primary,Various application contexts,Create horizontal vertical stacked icon versions,Inconsistent modifications unauthorized changes
3,Business Card,Stationery,namecard card contact professional,Professional contact card with brand identity,3.5x2 inches 85x55mm,PDF AI print-ready,Front center or corner,Primary secondary colors,Name title contact details,Marble wood desk surface,Premium paper stock spot UV foil,Cluttered design too many fonts cheap paper
4,Letterhead,Stationery,letter paper document official,Branded document paper for official correspondence,A4 Letter size,PDF AI Word template,Top header or corner,Subtle brand colors,Body text headers,Flat lay with pen envelope,Consistent margins proper hierarchy,Overpowering logo excessive graphics
5,Envelope,Stationery,envelope mail correspondence,Branded envelopes for business mail,DL C4 C5 sizes,PDF AI print-ready,Flap or front corner,Primary brand color,Return address company name,Stacked with letterhead cards,Match letterhead design system,Misaligned printing poor paper quality
6,Folder,Stationery,folder presentation document holder,Presentation folder for documents,A4 Letter pocket folder,PDF AI die-cut template,Front cover spine,Full brand colors,Company tagline contact,Business documents inside,Pockets die-cuts premium finish,Flimsy material poor construction
7,Notebook,Stationery,notebook journal notepad branded,Branded notebooks for employees or gifts,A5 A6 sizes,Print cover design,Front cover emboss,Cover in brand colors,Logo minimal text,Desk flat lay with pen,Quality binding emboss or deboss,Cheap paper poor binding
8,Pen,Promotional,pen writing instrument promo,Branded pens for promotional use,Standard pen dimensions,Vector for print,Barrel clip,Limited color 1-2,Logo only or tagline,Product shot lifestyle,Quality mechanism smooth writing,Cheap mechanism poor print
9,ID Badge,Security Access,badge identification employee pass,Employee identification and access card,CR80 86x54mm,PDF AI template,Center or top,Photo area brand colors,Name department title,Lanyard neck office setting,Clear photo area security features,Poor photo quality cluttered design
10,Lanyard,Security Access,lanyard neck strap badge holder,Neck strap for ID badges,20-25mm width,Vector repeat pattern,Continuous pattern,Primary brand color,Logo repeated or continuous,Worn with badge professional,Quality material comfortable width,Scratchy material cheap clips
11,Access Card,Security Access,key card rfid access control,Electronic access control card,CR80 standard,PDF AI template,One side or both,Minimal brand colors,Card number access level,Security context door reader,Functional design clear hierarchy,Security info visible cluttered
12,Reception Signage,Office Environment,lobby reception wall sign 3D,Main reception area brand signage,Custom based on wall,3D fabrication files,Center of wall,Backlit or dimensional,Logo only or with tagline,Modern office lobby interior,Backlit LED brushed metal acrylic,Poor lighting cheap materials dim
13,Wayfinding Signage,Office Environment,directional signs navigation office,Interior navigation and directional signs,Various sizes,AI vector templates,Consistent placement,Secondary palette,Clear readable fonts,Hallway corridor office,Consistent system clear hierarchy,Inconsistent styles poor visibility
14,Meeting Room Signs,Office Environment,conference room name plate door,Meeting room identification signs,A5 A6 custom,AI templates,Center or left,Accent colors,Room name capacity,Glass door or wall mounted,Digital or static consistent style,Hard to read small text
15,Wall Graphics,Office Environment,mural wall art brand values,Large scale wall murals and graphics,Wall dimensions,Large format print,Full wall coverage,Full palette gradients,Mission values quotes,Open office space,Inspiring messaging quality install,Peeling edges poor resolution
16,Window Graphics,Office Environment,glass frosted privacy film,Frosted or printed window graphics,Window dimensions,Vector cut files,Privacy zones branding,Frosted with logo,Minimal text,Glass partitions entrance,Privacy function brand presence,Blocking natural light cluttered
17,Desk Accessories,Office Environment,desk organizer mousepad coaster,Branded desk items for employees,Various sizes,Print-ready files,Product surface,Subtle branding,Logo tagline,Desktop lifestyle shot,Useful quality materials,Purely decorative poor quality
