No,Industry,Keywords,Recommended Styles,Primary Colors,Typography,Common Symbols,Mood,Best Practices,Avoid
1,Technology,tech startup saas software app,Minimalist Abstract Mark Gradient Geometric,#6366F1 #0EA5E9 #10B981,Modern sans-serif geometric,Circuit nodes data infinity loop,Innovative forward-thinking modern,Clean lines scalable simple shapes,Overly complex clip art dated fonts
2,Healthcare,medical hospital clinic health wellness,Corporate Professional Minimal Line Art,#0077B6 #00A896 #059669,Clean professional sans-serif,Cross heart pulse human figure caduceus,Trustworthy caring professional,Simple recognizable calming colors,Red (blood) overly clinical aggressive
3,Finance,bank investment fintech insurance,Corporate Emblem Lettermark Wordmark,#003366 #1E3A8A #0F766E,Traditional serif or modern sans,Shield graph growth arrow pillars,Stable trustworthy established,Conservative colors timeless design,Trendy effects casual playful
4,Legal,law firm attorney legal services,Wordmark Emblem Crest Lettermark,#0F172A #1E3A8A #713F12,Serif traditional professional,Scales pillar gavel shield book,Authoritative trustworthy serious,Traditional balanced symmetrical,Playful colors casual fonts
5,Real Estate,property homes housing agency,Combination Mark Wordmark Abstract,#0F766E #0369A1 #334155,Clean professional sans-serif,House roof key door building,Professional trustworthy growth,Simple memorable scalable,Overly detailed houses trendy
6,Food Restaurant,cafe restaurant bakery food service,Vintage Badge Mascot Combination,#DC2626 #F97316 #CA8A04,Friendly script or bold sans,Utensils chef hat food items,Appetizing warm inviting,Warm colors clear readable,Cold colors overly complex
7,Fashion,clothing apparel luxury brand,Wordmark Luxury Monogram Line Art,#000000 #FFFFFF #D4AF37,Elegant serif or thin sans,Abstract marks letters,Sophisticated elegant modern,Minimal timeless refined,Trendy effects dated fonts
8,Beauty Cosmetics,skincare makeup salon spa,Script Wordmark Feminine Organic,#F472B6 #FDA4AF #D4AF37,Elegant script or thin sans,Face lips flower leaf,Elegant feminine luxurious,Soft colors elegant simple,Harsh colors masculine style
9,Education,school university learning edtech,Wordmark Emblem Combination Mark,#4F46E5 #7C3AED #059669,Clear readable professional,Book cap torch owl shield,Trustworthy growth knowledge,Clear readable balanced,Overly playful unprofessional
10,Sports Fitness,gym athletic sports team fitness,Dynamic Mark Bold Abstract Emblem,#DC2626 #F97316 #000000,Bold condensed strong sans,Figure motion lines dumbbell,Energetic powerful dynamic,Bold dynamic movement implied,Weak passive overly complex
