No,Style Name,Category,Keywords,Primary Colors,Secondary Colors,Typography,Effects,Best For,Avoid For,Complexity,Era
1,Minimalist,General,"clean, simple, essential, whitespace, geometric, modern",#000000 #FFFFFF #F5F5F5,Single accent only,Sans-serif thin weight,"None, sharp edges, high contrast",Tech startups SaaS apps professional services,Playful brands children entertainment,Low,2010s-Present
2,Wordmark,Typography,"logotype, text-only, custom lettering, brand name",Brand-specific,Monochromatic,Custom modified typeface,"Kerning adjustments, ligatures",Established brands name recognition,Complex names visual-heavy industries,Low,Classic
3,Lettermark,Typography,"monogram, initials, abbreviated, compact",Brand-specific usually 2 colors,Minimal accent,Bold geometric sans-serif,"Interlocking letters, negative space",Long company names professional firms,Consumer brands needing recognition,Medium,Classic
4,Pictorial Mark,Symbol,"icon, image, symbol, standalone graphic",Brand-specific,Supporting colors,Paired with wordmark,"Clean lines, scalable shapes",Recognizable brands global companies,Startups unknown brands,Medium,Classic
5,Abstract Mark,Symbol,"geometric, non-representational, unique shape",Bold vibrant colors,Gradient or flat,Modern sans-serif pairing,"Gradients, 3D effects, flat design",Tech companies differentiating brands,Traditional industries,Medium,Modern
6,Mascot,Illustrated,"character, cartoon, friendly, approachable",Warm vibrant palette,Multiple supporting colors,Rounded friendly typeface,"Illustrated, expressions, poses",Food brands sports teams children products,Luxury finance professional services,High,Various
7,Emblem,Badge,"seal, crest, enclosed, official",#1E3A8A #FFD700 #000000,Metallic accents,Serif or gothic typeface,"Banners, shields, circular frame",Universities government traditional brands,Modern tech startups,High,Classic
8,Combination Mark,Hybrid,"icon + text, versatile, complete",Brand-specific,Coordinated palette,Balanced with icon,"Lockup variations, responsive",New brands versatile applications,Simple recognition needs,Medium,Various
9,Vintage/Retro,Aesthetic,"nostalgic, heritage, classic, established",#8B4513 #F5DEB3 #2F4F4F,Muted earth tones,Serif script or slab serif,"Distressed, worn, textured",Craft brands heritage products artisan goods,Modern tech forward brands,Medium,1920s-1970s
10,Art Deco,Aesthetic,"geometric, elegant, 1920s, glamorous",#FFD700 #000000 #1C1C1C,Metallic gold silver,Geometric display typeface,"Sharp angles, symmetry, luxury feel",Luxury hotels fashion high-end products,Budget casual brands,High,1920s-1930s
